dataset , attack_type, model_architecture, target_accuracy   , independent_accuracy, surrogate_accuracy , surrogate_precision, surrogate_recall   , surrogate_f1_score , surrogate_fpr      , surrogate_fnr      , surrogate_auc     , fidelity           , recovery_from, timestamp                 ,     split_type
citeseer, Type I     , gat                   , 0.8274231678486997,   0.8085106382978723, 0.7565011820330969 , 0.7624249876584931 , 0.7565011820330969 , 0.75526831629641   , 0.0502925052512508 , 0.24349881796690306, 0.9345330186317677, 0.8486997485160828 , embedding    , 2025-05-31T17:57:31.890133, non-overlapped
citeseer, Type II    , gat                   , 0.8274231678486997,   0.8085106382978723, 0.6619385342789598 , 0.7517929324561038 , 0.6619385342789598 , 0.630828225954235  , 0.07218677702057347, 0.3380614657210402 , 0.9318413955380412, 0.7186761498451233 , embedding    , 2025-05-31T18:20:23.286884, non-overlapped
acm     , Type I     , gat                   , 0.9039735099337748,   0.890728476821192 , 0.8874172185430463 , 0.9013848200755324 , 0.8874172185430463 , 0.8852460012909045 , 0.05295990158506148, 0.11258278145695365, 0.9800128969978916, 0.9304635524749756 , embedding    , 2025-05-31T23:07:27.849496, non-overlapped
acm     , Type II    , gat                   , 0.9039735099337748,   0.890728476821192 , 0.847682119205298  , 0.8737353980664027 , 0.847682119205298  , 0.8443604048853367 , 0.0705897960269476 , 0.152317880794702  , 0.9718533797706752, 0.9105960130691528 , embedding    , 2025-05-31T23:17:04.979658, non-overlapped
citeseer, Type II    , sage                  , 0.7966903073286052,   0.8037825059101655, 0.7163120567375887 , 0.7698924541398554 , 0.7163120567375887 , 0.7179668866335177 , 0.05949960299838939, 0.28368794326241137, 0.9359929379750133, 0.7895981073379517 , embedding    , 2025-05-31T22:23:42.909203, non-overlapped
citeseer, Type I     , sage                  , 0.7966903073286052,   0.8037825059101655, 0.47754137115839246, 0.4476332577374765 , 0.47754137115839246, 0.4066451371753353 , 0.12150284737975361, 0.5224586288416075 , 0.9237639949188213, 0.48463356494903564, embedding    , 2025-05-31T22:03:51.186041, non-overlapped
acm     , Type II    , sage                  , 0.9271523178807947,   0.9271523178807947, 0.7649006622516556 , 0.8259401349496773 , 0.7649006622516556 , 0.7672973468359262 , 0.12348112355720375, 0.23509933774834438, 0.9306167284556969, 0.7649006843566895 , embedding    , 2025-06-01T01:33:14.595697, non-overlapped
acm     , Type I     , sage                  , 0.9271523178807947,   0.9271523178807947, 0.9006622516556292 , 0.9158024238934115 , 0.9006622516556292 , 0.8982700541738728 , 0.04653454660620354, 0.09933774834437087, 0.9837676169150551, 0.9238410592079163 , embedding    , 2025-06-01T01:26:39.379256, non-overlapped
citeseer, Type I     , gin                   , 0.8037825059101655,   0.789598108747045 , 0.3617021276595745 , 0.3740712090223319 , 0.3617021276595745 , 0.32973125661075176, 0.12584803981848625, 0.6382978723404256 , 0.7651020580253137, 0.38770684599876404, embedding    , 2025-05-31T19:23:57.690869, non-overlapped
citeseer, Type II    , gin                   , 0.8037825059101655,   0.789598108747045 , 0.5011820330969267 , 0.531745121311408  , 0.5011820330969267 , 0.4577427638987336 , 0.10971739478473513, 0.4988179669030733 , 0.7846709464020404, 0.5484633445739746 , embedding    , 2025-05-31T19:46:16.275265, non-overlapped
acm     , Type I     , gin                   , 0.5596026490066225,   0.5662251655629139, 0.39403973509933776, 0.47247156009876096, 0.39403973509933776, 0.27011525888789145, 0.31828215934176196, 0.6059602649006622 , 0.6867622670664729, 0.15562914311885834, embedding    , 2025-05-31T23:54:42.259434, non-overlapped
acm     , Type II    , gin                   , 0.5596026490066225,   0.5662251655629139, 0.609271523178808  , 0.4102183411800712 , 0.609271523178808  , 0.4857859301375022 , 0.19892979437595168, 0.39072847682119205, 0.8717537034412863, 0.7284768223762512 , embedding    , 2025-06-01T00:04:43.456038, non-overlapped
